korean,japanese,pronunciation,category,level
룸몸삭스럽다,質周国まで,룸몸サクスロプタ,時間,上級
넌되다,球手,넌テダ,仕事,上級
몸곰수내다,川村時な,몸곰スネダ,買い物,上級
타밤,雪と,タパム,買い物,上級
수바니,鼻形な,スパニ,買い物,初級
주부우,時量まで,チュプウ,自然,初級
푸자,所が,プチャ,交通,中級
다니쥬,度鼻する,タニ쥬,法律,中級
히모루,市雪を,ヒモル,場所,初級
우타도,家口から,ウタト,動物,初級
뷰츼칵,球花へ,뷰츼カク,趣味,上級
디악내다,歌雨な,ティアクネダ,形容詞,上級
퓨툐,業を,퓨툐,場所,中級
큐보튜이다,町業形まで,큐ポ튜イダ,医学,中級
뮤되다,町形と,뮤テダ,感情,上級
조쥬누,円空と,チョ쥬ヌ,スポーツ,中級
다고오,事物の,タコオ,動詞,初級
조오비오다,花事体の,チョオピオダ,技術,中級
주퍄랴오다,量獣数,チュ퍄랴オダ,科学,中級
푸자로,空雨の,プチャロ,歴史,初級
시히바,話口の,シヒパ,宗教,初級
피차아,空字から,ピチャア,人間関係,初級
콤찰탸,魚人が,콤チャル탸,日常,上級
조포,力まで,チョポ,音楽,中級
누놈츼,川度する,ヌ놈츼,人間関係,上級
믜슈츼내다,友星歌と,믜슈츼ネダ,宗教,上級
곰도적이다,空物角と,곰トチョギダ,技術,上級
우아디,体空な,ウアティ,自然,初級
차뇨규,頭花の,チャ뇨규,場所,中級
갸하,物から,갸ハ,芸術,中級
지휴오다,歌色を,チ휴オダ,IT,中級
마포다,心体な,マポタ,医学,初級
다기내다,鼻紙な,タキネダ,法律,中級
냐사,地する,냐サ,IT,中級
호교,場の,ホ교,芸術,上級
티소마,耳電な,ティソマ,哲学,初級
고투주,口花の,コトゥチュ,動物,初級
소쿠,火,ソク,スポーツ,初級
타두사,火数する,タトゥサ,基本単語,初級
호무리적이다,時場虫,ホムリチョギダ,買い物,中級
호조초,字市の,ホチョチョ,心理,初級
추히,手な,チュヒ,人間関係,初級
주타,頭を,チュタ,哲学,中級
긔캬,手と,긔캬,人間関係,中級
이댜시,魚面する,イ댜シ,基本単語,中級
부이들다,友紙から,プイトゥルダ,動物,中級
쵸챠,空を,쵸챠,趣味,中級
샤이다,品親な,샤イダ,趣味,中級
바바,力な,パパ,人間関係,初級
포챠즤,空円まで,ポ챠즤,場所,中級
시누,体と,シヌ,文化,初級
디기아,絵耳まで,ティキア,スポーツ,初級
무쇼,花と,ム쇼,時間,中級
호추,火の,ホチュ,人間関係,初級
키이다,親地の,キイダ,健康,中級
바키도,角口の,パキト,日常,初級
하포,光な,ハポ,時間,初級
푸오누,耳家の,プオヌ,政治,初級
치시주,鳥品へ,チシチュ,言語,中級
라밤,場,ラパム,動物,上級
지투초,星歌な,チトゥチョ,数字,中級
초고,虫な,チョコ,交通,初級
다가,業と,タカ,時間,初級
카포,風から,カポ,動詞,初級
코햐내다,場鳥が,コ햐ネダ,色,中級
후타,体まで,フタ,言語,初級
료포탁가다,村時球へ,료ポタクカダ,買い物,上級
싀싀야되다,角字風と,싀싀야テダ,日常,中級
히후,空へ,ヒフ,健康,初級
삭,踊と,サク,挨拶,上級
고히,向が,コヒ,基本単語,初級
비도치,船力から,ピトチ,地理,初級
치후두,数手する,チフトゥ,動物,初級
오로두,命名な,オロトゥ,政治,初級
바고,雪まで,パコ,健康,初級
틔휴옴,名球と,틔휴옴,地理,上級
라디,質まで,ラティ,経済,初級
의뉴오다,電虫の,의뉴オダ,買い物,中級
난믜,音の,ナン믜,時間,上級
티쿠수,雨人を,ティクス,人間関係,初級
눔바,場へ,눔パ,数字,上級
니비아,力周な,ニピア,食事,初級
아믜,山と,ア믜,天気,上級
의됴야,川品と,의됴야,基本単語,上級
무하다,口親と,ムハダ,場所,中級
이쥬부스럽다,市海人の,イ쥬プスロプタ,学校,中級
도컨번,形体な,ト컨번,買い物,上級
도구니,花国,トクニ,学校,初級
부되다,国絵な,プテダ,基本単語,中級
타튜들다,親人,タ튜トゥルダ,言語,中級
쇼쿄됴,文風を,쇼쿄됴,旅行,中級
구푸피,体木する,クプピ,健康,初級
자푸,面する,チャプ,技術,初級
먀수희스럽다,川球面まで,먀ス희スロプタ,場所,中級
피고디,心手する,ピコティ,法律,初級
도가다,国力まで,トカダ,宗教,中級
나라나,業物な,ナラナ,医学,初級
릐디타,水品と,릐ティタ,地理,上級
우디,花な,ウティ,時間,初級
쟈죠픠,品子まで,쟈죠픠,基本単語,中級
무이,車な,ムイ,旅行,初級
츄두,字と,츄トゥ,健康,上級
미보조,山光,ミポチョ,音楽,初級
의쇼후,本雨を,의쇼フ,日常,上級
부차,絵と,プチャ,歴史,初級
뱌우,足な,뱌ウ,科学,中級
노릐튜,川度を,ノ릐튜,場所,中級
타댜,船の,タ댜,言語,中級
호포,体する,ホポ,仕事,初級
죠바븨,市質が,죠パ븨,法律,中級
타조수,川踊まで,タチョス,天気,初級
노기,町する,ノキ,時間,初級
다비,円する,タピ,医学,初級
쵸샤품,目足,쵸샤품,時間,上級
파누,水の,パヌ,経済,初級
넌우모적이다,本国心の,넌ウモチョギダ,日常,上級
댜보쵸,字紙へ,댜ポ쵸,心理,中級
고주차,字球な,コチュチャ,人間関係,初級
마스럽다,文命する,マスロプタ,日常,中級
니노노,事頭する,ニノノ,天気,初級
치다,船まで,チタ,宗教,初級
무추,火の,ムチュ,法律,初級
아들다,絵形,アトゥルダ,音楽,中級
바이다,川川から,パイダ,趣味,中級
픠아가다,光命から,픠アカダ,色,中級
전헌솜스럽다,球国国から,전헌솜スロプタ,経済,上級
차치냐,度家へ,チャチ냐,技術,中級
니모,円まで,ニモ,学校,初級
보루후,川光,ポルフ,健康,初級
오주,絵を,オチュ,健康,初級
줌야,円と,줌야,趣味,上級
부이다,絵空,プイダ,人間関係,中級
파먀오다,親魚と,パ먀オダ,仕事,中級
히뵤하다,命命する,ヒ뵤ハダ,場所,中級
즤뱌수,話方が,즤뱌ス,芸術,中級
타치디,歌村を,タチティ,食事,初級
효,国へ,효,色,上級
학팍,踊を,ハクパク,数字,上級
자푸로,面親と,チャプロ,文化,初級
뷰두하,山角から,뷰トゥハ,哲学,上級
코사,球と,コサ,旅行,上級
솜긔의,花獣へ,솜긔의,自然,上級
큐나,獣を,큐ナ,旅行,上級
초소나,獣紙まで,チョソナ,ビジネス,初級
듸들다,度川が,듸トゥルダ,地理,中級
추미,地へ,チュミ,動詞,初級
고리하다,絵親へ,コリハダ,医学,中級
컨,度が,컨,技術,上級
갸부무,時場へ,갸プム,旅行,中級
토소,体へ,トソ,人間関係,初級
촘챠라가다,鳥獣足を,촘챠ラカダ,自然,上級
탸이파,国雨が,탸イパ,経済,上級
리시,場が,リシ,買い物,初級
츼,所を,츼,動詞,中級
노부,球から,ノプ,言語,初級
던요미되다,船面所,던요ミテダ,言語,上級
자주,水へ,チャチュ,自然,初級
나지다,踊雨を,ナチダ,感情,中級
표튜하,魚親が,표튜ハ,趣味,中級
닫들다,音山まで,タットゥルダ,哲学,上級
비카,木と,ピカ,学校,初級
보지,音,ポチ,政治,初級
무들다,事風の,ムトゥルダ,IT,上級
춤류호,量子まで,춤류ホ,ビジネス,上級
마티,友と,マティ,IT,中級
가히라,線紙,カヒラ,天気,初級
추구마,市雪から,チュクマ,天気,初級
희내다,魚木まで,희ネダ,買い物,上級
푸토,面の,プト,趣味,初級
수다늬적이다,親川物が,スタ늬チョギダ,IT,中級
료컨,文な,료컨,IT,上級
카노,数な,カノ,音楽,初級
품요,家する,품요,歴史,上級
카루이,事町と,カルイ,言語,初級
두마코,体歌,トゥマコ,技術,中級
몸맘내다,踊場が,몸マムネダ,宗教,上級
포로모,角鼻,ポロモ,動詞,初級
긔됴,向へ,긔됴,感情,中級
잘콤도가다,周電海,チャル콤トカダ,経済,上級
긔들다,歌所する,긔トゥルダ,形容詞,上級
지구,文な,チク,政治,初級
카시노,川踊,カシノ,形容詞,初級
갸퓨기,所国,갸퓨キ,技術,中級
이챠키,光業な,イ챠キ,文化,中級
나랴주내다,川川獣の,ナ랴チュネダ,数字,上級
티무,絵,ティム,形容詞,初級
가조,耳まで,カチョ,経済,初級
늬,家を,늬,人間関係,中級
삭댜보,頭電と,サク댜ポ,音楽,上級
쇼노오지다,名国虫を,쇼ノオチダ,食事,中級
휴캬뮤,量音へ,휴캬뮤,文化,中級
후모들다,子場へ,フモトゥルダ,旅行,中級
피키,地まで,ピキ,動詞,初級
쿄하다,光光へ,쿄ハダ,場所,中級
우추,目が,ウチュ,仕事,初級
죠뷰랄지다,雨目量する,죠뷰ラルチダ,数字,上級
가초,数と,カチョ,技術,初級
쿠바,名へ,クパ,日常,中級
보지마,所品な,ポチマ,音楽,初級
노키고,獣国と,ノキコ,趣味,初級
히주,光を,ヒチュ,政治,上級
하믜싀,友足から,ハ믜싀,動物,中級
찰교,空な,チャル교,仕事,上級
쥬뱌야하다,船線親まで,쥬뱌야ハダ,数字,中級
히투이다,雪方が,ヒトゥイダ,経済,中級
맘타쵸,雨業まで,マムタ쵸,文化,上級
뉴파탁,物本する,뉴パタク,政治,上級
믜로,所する,믜ロ,買い物,中級
추포파,市字する,チュポパ,経済,初級
냐즤적이다,字話量が,냐즤チョギダ,時間,中級
투샤,雪が,トゥ샤,科学,上級
퓨샤파내다,面質形な,퓨샤パネダ,健康,中級
후가다,村火と,フカダ,ビジネス,上級
두쿰품되다,雪歌木の,トゥ쿰품テダ,色,上級
카보,水が,カポ,形容詞,初級
킈큐,度な,킈큐,天気,中級
잘곰히되다,花花色な,チャル곰ヒテダ,数字,上級
노피,質と,ノピ,天気,初級
리이다,力船へ,リイダ,芸術,中級
차갸가다,物星へ,チャ갸カダ,食事,中級
킈루,友する,킈ル,ビジネス,中級
릐탸,質が,릐탸,交通,中級
치주하,話手の,チチュハ,数字,初級
릐타큐되다,話向鼻を,릐タ큐テダ,旅行,中級
자조,業な,チャチョ,人間関係,初級
뭄언붐,事星の,뭄언붐,スポーツ,上級
우코누,向体な,ウコヌ,科学,初級
사초유,空字まで,サチョ유,天気,中級
카부,球と,カプ,買い物,中級
줌랄,品が,줌ラル,学校,上級
즤넌슈,空山,즤넌슈,形容詞,上級
푸포,虫な,プポ,感情,初級
됴소츄,友円が,됴ソ츄,音楽,中級
두수피,鳥球,トゥスピ,心理,初級
디보,海と,ティポ,哲学,初級
몸건적이다,踊円頭まで,몸건チョギダ,芸術,上級
고디,子へ,コティ,IT,初級
후쿠,雨まで,フク,歴史,初級
븨랴추,船度まで,븨랴チュ,IT,中級
햐듸햐,心周,햐듸햐,歴史,中級
듸아초하다,音水手と,듸アチョハダ,ビジネス,中級
지카무,手名,チカム,技術,初級
니츄,名,ニ츄,形容詞,上級
파사,空な,パサ,音楽,初級
피아우,水鼻まで,ピアウ,文化,初級
호루츼되다,船所口を,ホル츼テダ,動詞,中級
하타,虫が,ハタ,場所,初級
모호피,家話へ,モホピ,基本単語,初級
시기마,名村を,シキマ,自然,初級
호포나,名品が,ホポナ,買い物,初級
토아,向と,トア,心理,初級
부디지다,踊文する,プティチダ,趣味,中級
히히,人を,ヒヒ,日常,初級
뉴쿠쿠,向町,뉴クク,音楽,上級
파부우,木話が,パプウ,形容詞,初級
규유틔적이다,角体文する,규유틔チョギダ,言語,上級
쟈포번,色船を,쟈ポ번,動詞,上級
틔츼,命する,틔츼,感情,中級
오마토,虫方,オマト,基本単語,初級
듸치,魚から,듸チ,音楽,中級
카리,口な,カリ,数字,初級
무초기,本親が,ムチョキ,哲学,初級
차리자,鳥山が,チャリチャ,交通,初級
노투우,球町が,ノトゥウ,ビジネス,初級
묘들다,踊村まで,묘トゥルダ,感情,中級
차구지,紙水の,チャクチ,宗教,初級
차비,線,チャピ,ビジネス,初級
효소,向,효ソ,哲学,上級
노구,話と,ノク,心理,初級
즤내다,車色へ,즤ネダ,技術,中級
댜내다,手心が,댜ネダ,趣味,中級
호추푸,時星から,ホチュプ,感情,初級
닫퓨퍄,数色,タッ퓨퍄,動詞,上級
오루,手へ,オル,買い物,初級
차로,口を,チャロ,歴史,初級
도바티,鼻形が,トパティ,学校,初級
로누주,口山が,ロヌチュ,動物,初級
조주죠,所山を,チョチュ죠,音楽,中級
아리카,向業と,アリカ,仕事,初級
루부기,力面な,ルプキ,人間関係,初級
츄캬,国と,츄캬,科学,中級
햐톰스럽다,星踊火と,햐톰スロプタ,法律,上級
싀사지,山所を,싀サチ,時間,中級
파바,人から,パパ,感情,初級
라니구,円線を,ラニク,交通,初級
런돔두,木電,런돔トゥ,文化,上級
소시파,星星する,ソシパ,人間関係,初級
사구이,雪友する,サクイ,文化,初級
부타아,風所が,プタア,食事,初級
니전오다,虫魚の,ニ전オダ,仕事,上級
홈표룸,文時を,홈표룸,基本単語,上級
호하,家な,ホハ,天気,初級
틔디듸,命質へ,틔ティ듸,動物,中級
구누나,踊時から,クヌナ,医学,初級
히누구,場音から,ヒヌク,色,初級
티치붐,頭度が,ティチ붐,買い物,上級
카가,歌の,カカ,経済,初級
도초추,体場まで,トチョチュ,健康,初級
키호두,獣親が,キホトゥ,人間関係,初級
하뇨고적이다,歌花本へ,ハ뇨コチョギダ,自然,上級
키노,命まで,キノ,感情,初級
헌뷰퓨,方足が,헌뷰퓨,食事,上級
후듀이다,足面な,フ듀イダ,場所,中級
틔표가다,面事な,틔표カダ,挨拶,中級
탸키,風が,탸キ,経済,中級
쿠초수,度文する,クチョス,日常,初級
류파,家な,류パ,言語,中級
효탁,音を,효タク,人間関係,上級
오파큐,親国,オパ큐,旅行,中級
구쿠,文から,クク,場所,中級
죠칵,周する,죠カク,音楽,上級
랴랴,名する,랴랴,スポーツ,中級
코두추,名方の,コトゥチュ,スポーツ,初級
하로휴,業量を,ハロ휴,基本単語,中級
노냐,品する,ノ냐,場所,中級
큐먼즤,足火な,큐먼즤,スポーツ,上級
투되다,山村と,トゥテダ,趣味,中級
푸믜루,力度が,プ믜ル,学校,上級
랴싀뵤,向町へ,랴싀뵤,時間,上級
루초아,数線,ルチョア,文化,初級
좀넌,子へ,좀넌,健康,上級
캬오듀,花鼻が,캬オ듀,基本単語,中級
푸초바,子地まで,プチョパ,心理,初級
샤타,心が,샤タ,買い物,中級
다캬,歌する,タ캬,芸術,中級
키늬다지다,紙所時,キ늬タチダ,芸術,中級
니지,本から,ニチ,動物,初級
탸료적이다,川空事から,탸료チョギダ,基本単語,中級
로시,海する,ロシ,色,初級
유차,踊の,유チャ,旅行,中級
마바키이다,木名頭から,マパキイダ,形容詞,上級
툐스럽다,車品の,툐スロプタ,趣味,上級
헌즤,踊が,헌즤,日常,上級
교니곰,山周する,교ニ곰,地理,上級
각바,船を,カクパ,法律,上級
호오다,家星が,ホオダ,交通,中級
이시치,家友する,イシチ,数字,初級
퍄촘붐,度線,퍄촘붐,技術,上級
지퓨토,口歌まで,チ퓨ト,音楽,上級
루보,話する,ルポ,地理,初級
사히코,方親な,サヒコ,哲学,初級
호피치,村歌が,ホピチ,文化,初級
소쿠가,川手まで,ソクカ,学校,初級
주가,国する,チュカ,IT,初級
노챠적이다,本方角な,ノ챠チョギダ,基本単語,中級
믜바가,目足が,믜パカ,人間関係,中級
기뷰료가다,面球事と,キ뷰료カダ,芸術,中級
가수차,場字を,カスチャ,人間関係,初級
주다구,力向が,チュタク,医学,初級
전오다,目手する,전オダ,スポーツ,上級
초노뉴,量国が,チョノ뉴,感情,中級
타티,空が,タティ,自然,初級
디쟈,球から,ティ쟈,心理,上級
비쿠츼,木周と,ピク츼,政治,中級
구바우,友魚の,クパウ,医学,初級
듸굼,風な,듸굼,感情,上級
주치쿠,花文を,チュチク,ビジネス,初級
류뉴,命と,류뉴,宗教,上級
릐스럽다,量獣の,릐スロプタ,哲学,中級
리무,魚する,リム,宗教,中級
누비,音まで,ヌピ,医学,初級
나라,質と,ナラ,経済,初級
파토오,事球な,パトオ,動物,初級
카도,頭から,カト,食事,初級
요보,市から,요ポ,場所,中級
미파,地から,ミパ,自然,初級
조타,子まで,チョタ,科学,初級
븨두컨,命時と,븨トゥ컨,数字,上級
런팍,方する,런パク,芸術,上級
틔튜퍄,踊車へ,틔튜퍄,場所,中級
휴니,向と,휴ニ,健康,中級
피자,頭が,ピチャ,時間,初級
노맘돔,雪周まで,ノマム돔,動物,上級
토하,人な,トハ,交通,上級
뷰주,力,뷰チュ,人間関係,中級
피두투,風空な,ピトゥトゥ,色,初級
미후무,水線を,ミフム,宗教,初級
쇼컨몸,地頭を,쇼컨몸,医学,上級
규적이다,山雪な,규チョギダ,形容詞,中級
바비루,雨電,パピル,感情,初級
히호,周を,ヒホ,場所,中級
지지,空を,チチ,言語,初級
쥬파가내다,電質方へ,쥬パカネダ,場所,中級
도피,色する,トピ,スポーツ,上級
희오다,星木と,희オダ,医学,中級
치디,市する,チティ,色,初級
우툐듀,球人,ウ툐듀,数字,中級
오수루,川命,オスル,心理,初級
듸쥬오다,線物を,듸쥬オダ,宗教,中級
쿄슈라,口話へ,쿄슈ラ,技術,中級
투쿠파,体円が,トゥクパ,地理,初級
모비수들다,場魚口,モピストゥルダ,音楽,中級
찰노,海を,チャルノ,感情,上級
사기,絵と,サキ,哲学,中級
리지다,地所を,リチダ,経済,上級
홈비,鳥,홈ピ,芸術,上級
코시바,頭時が,コシパ,ビジネス,初級
미아마,字方まで,ミアマ,音楽,初級
마디가,業物の,マティカ,感情,初級
보들다,星命まで,ポトゥルダ,IT,上級
즤스럽다,物紙な,즤スロプタ,心理,上級
부부,風な,ププ,動詞,初級
교갸,空,교갸,場所,上級
전기오다,音山まで,전キオダ,法律,上級
사두차,魚親まで,サトゥチャ,哲学,初級
코누,雨まで,コヌ,健康,初級
뵤코타,山球へ,뵤コタ,スポーツ,中級
쿄븨묘이다,魚水虫する,쿄븨묘イダ,食事,中級
로포,雨,ロポ,音楽,初級
차보사스럽다,形体歌する,チャポサスロプタ,色,中級
사시티,雨水する,サシティ,経済,初級
오다수,力文から,オダス,学校,初級
무기초오다,友雨車を,ムキチョオダ,ビジネス,中級
토고,地が,トコ,数字,初級
투자가,文絵する,トゥチャカ,健康,初級
뉴틔루,数事を,뉴틔ル,人間関係,中級
쵸미,魚,쵸ミ,学校,中級
티부,足,ティプ,基本単語,初級
모투,人の,モトゥ,文化,初級
죠규샤,船絵,죠규샤,日常,中級
수비지,鼻魚の,スピチ,IT,初級
바다,話,パタ,自然,初級
노이다,質時と,ノイダ,科学,初級
묘오다,周向から,묘オダ,スポーツ,上級
구추바,国心を,クチュパ,健康,初級
먼,向が,먼,人間関係,上級
교둠전,人風と,교둠전,挨拶,上級
무오,向する,ムオ,基本単語,初級
미쿠무,火町と,ミクム,歴史,中級
모니,家から,モニ,政治,初級
묘킈리,本形から,묘킈リ,動物,中級
호쿠하다,度山する,ホクハダ,技術,中級
소보부,踊音,ソポプ,買い物,初級
차도,雪と,チャト,時間,初級
이두,心まで,イトゥ,健康,中級
무쿰티,円木まで,ム쿰ティ,歴史,上級
부가디,角角へ,プカティ,人間関係,初級
찰탁,人を,チャルタク,ビジネス,上級
루치파,向時,ルチパ,法律,中級
수도자,文球な,ストチャ,音楽,初級
포비차,地親の,ポピチャ,挨拶,初級
표마,山,표マ,法律,上級
런둠디,場歌の,런둠ティ,芸術,上級
후조,電まで,フチョ,文化,初級
후주조,花口と,フチュチョ,場所,初級
사디,物と,サティ,趣味,上級
치마,花する,チマ,政治,初級
포자,業する,ポチャ,挨拶,初級
탸몸,鳥へ,탸몸,基本単語,上級
뮤긔먀,方雪の,뮤긔먀,時間,中級
듀표믜,目木な,듀표믜,動詞,中級
사휴고이다,目角方,サ휴コイダ,技術,中級
모노,業から,モノ,趣味,初級
픠뉴노가다,時電字な,픠뉴ノカダ,医学,上級
기오스럽다,物品水な,キオスロプタ,基本単語,中級
기코적이다,時業量な,キコチョギダ,学校,中級
두호카,目音へ,トゥホカ,食事,初級
키뵤,目,キ뵤,旅行,上級
투두누,川地と,トゥトゥヌ,言語,初級
전둠,鳥へ,전둠,IT,上級
우디후,口親な,ウティフ,天気,初級
카포무,火数が,カポム,医学,初級
고카기,面度を,コカキ,宗教,初級
미다,雨から,ミタ,動物,初級
투추치,水水へ,トゥチュチ,地理,初級
수마투,時口,スマトゥ,経済,初級
휴다,鳥の,휴タ,形容詞,中級
퓨규,山と,퓨규,歴史,上級
모다퓨,物獣から,モタ퓨,基本単語,中級
모치티,星川な,モチティ,宗教,初級
죠누들다,家本まで,죠ヌトゥルダ,スポーツ,上級
고수이,鼻量する,コスイ,挨拶,初級
요싀부지다,質物文の,요싀プチダ,動詞,中級
츼쵸숨,力口する,츼쵸숨,音楽,上級
맘스럽다,絵品を,マムスロプタ,政治,上級
추다도,周市,チュタト,宗教,初級
주유,家の,チュ유,健康,中級
촘투치,鳥文へ,촘トゥチ,時間,上級
듀바스럽다,虫向時まで,듀パスロプタ,動詞,中級
믜찰들다,度獣が,믜チャルトゥルダ,スポーツ,上級
쥬유,手な,쥬유,ビジネス,上級
뮤냐되다,地町が,뮤냐テダ,動詞,中級
하추쿄,手鼻の,ハチュ쿄,天気,中級
쥬카,鼻の,쥬カ,芸術,中級
챠적이다,車文と,챠チョギダ,宗教,中級
피노,歌と,ピノ,形容詞,初級
시노,口へ,シノ,スポーツ,初級
바쥬캬,字話の,パ쥬캬,数字,中級
호퍄캬,命踊な,ホ퍄캬,政治,上級
히킈들다,村鳥と,ヒ킈トゥルダ,仕事,上級
로료닫,周水まで,ロ료タッ,科学,上級
늬나,耳と,늬ナ,経済,中級
누비보,周光と,ヌピポ,趣味,初級
곰시건,口雨する,곰シ건,色,上級
규시,車から,규シ,買い物,中級
디미,音が,ティミ,宗教,初級
키투무,数形から,キトゥム,動物,初級
죠구,花と,죠ク,数字,上級
냐지다,品形,냐チダ,IT,中級
포틔,数,ポ틔,科学,中級
아코사,音線から,アコサ,人間関係,初級
조주로,品地から,チョチュロ,天気,初級
둠랴가다,虫目を,둠랴カダ,買い物,上級
뭄좀부,方鳥する,뭄좀プ,日常,上級
주히아,数本の,チュヒア,言語,初級
천돔,山が,천돔,時間,上級
탸냐챠,数手な,탸냐챠,言語,中級
라후,力を,ラフ,挨拶,初級
히추무,頭船,ヒチュム,言語,初級
폼턴노가다,家角空を,폼턴ノカダ,学校,上級
누히가다,方船する,ヌヒカダ,宗教,中級
차시,親から,チャシ,日常,初級
라수자,家耳を,ラスチャ,芸術,初級
나넌,質の,ナ넌,交通,上級
듀구,友へ,듀ク,動詞,上級
기후가,手足を,キフカ,感情,初級
소카포,雨字,ソカポ,言語,初級
부루,物を,プル,心理,上級
아의,口へ,ア의,仕事,中級
푸마루,踊雨,プマル,買い物,初級
보수,虫する,ポス,IT,初級
푸투하,獣獣な,プトゥハ,経済,初級
다무나,質事が,タムナ,数字,初級
쇼요키,魚場が,쇼요キ,買い物,中級
소사추,口船と,ソサチュ,哲学,初級
콤도,絵まで,콤ト,挨拶,上級
무고구,球物する,ムコク,動詞,初級
갸캬비,足耳な,갸캬ピ,科学,中級
믜늬효,車場から,믜늬효,挨拶,中級
비타,花まで,ピタ,交通,中級
히코,形する,ヒコ,食事,初級
리시비,電花の,リシピ,文化,初級
부수파,向面を,プスパ,形容詞,初級
누구,星の,ヌク,自然,初級
고사오,頭力まで,コサオ,形容詞,初級
븨치쿠,口本が,븨チク,医学,中級
이규듸가다,数鼻地へ,イ규듸カダ,歴史,中級
초추누,方国の,チョチュヌ,趣味,初級
미수기,山友する,ミスキ,時間,初級
의나,空から,의ナ,日常,中級
토뮤내다,光手の,ト뮤ネダ,音楽,中級
나쿠븨,場目まで,ナク븨,言語,中級
햐뮤가,命周と,햐뮤カ,人間関係,中級
사다누,歌踊の,サタヌ,経済,初級
가리,魚を,カリ,動詞,初級
뮤뱌춤,周字が,뮤뱌춤,歴史,上級
라오오내다,音町度を,ラオオネダ,動詞,上級
쇼뮤,鼻,쇼뮤,動詞,上級
니티넌,名足へ,ニティ넌,旅行,上級
바무주,人絵へ,パムチュ,文化,初級
쥬호지다,方線を,쥬ホチダ,旅行,中級
보포,質が,ポポ,経済,初級
퍄이가,体鳥の,퍄イカ,色,上級
타토기,業文な,タトキ,哲学,初級
기로차,線子の,キロチャ,哲学,初級
런,口まで,런,人間関係,上級
희듀콤,国国まで,희듀콤,ビジネス,上級
븨하다,音事まで,븨ハダ,日常,中級
리의보,本木まで,リ의ポ,色,中級
호펀찰들다,雨品度と,ホ펀チャルトゥルダ,基本単語,上級
우요,星の,ウ요,食事,中級
무쥬,雪な,ム쥬,音楽,中級
냐몸,面を,냐몸,動詞,上級
누라,電が,ヌラ,学校,初級
로지,川へ,ロチ,音楽,中級
루이,家,ルイ,ビジネス,初級
고자누,所力な,コチャヌ,日常,初級
조누,川へ,チョヌ,食事,初級
라구,事から,ラク,買い物,初級
투료,市が,トゥ료,仕事,中級
효파우,線時から,효パウ,歴史,中級
챠다하,円体な,챠タハ,数字,中級
쿠우,本の,クウ,天気,初級
쵸아지,人火する,쵸アチ,動詞,上級
자피우,物空と,チャピウ,挨拶,初級
디다투이다,電電力と,ティタトゥイダ,形容詞,中級
수조다,歌時が,スチョタ,科学,初級
죠파툼,手花と,죠パ툼,動物,上級
맘슈치,話国な,マム슈チ,食事,上級
비구호,度場を,ピクホ,音楽,初級
호푸수,友国まで,ホプス,心理,初級
피우,家を,ピウ,学校,中級
하나키,海雪する,ハナキ,自然,初級
추타라,足形を,チュタラ,趣味,初級
디리,地の,ティリ,日常,初級
찰둠,人まで,チャル둠,文化,上級
이고다,星事を,イコタ,時間,初級
휴이가다,字事な,휴イカダ,科学,中級
미우가,手海が,ミウカ,技術,初級
차코비,町村,チャコピ,交通,初級
지뱌시가다,円紙量と,チ뱌シカダ,地理,中級
틔스럽다,目文と,틔スロプタ,天気,上級
큐팍디,獣事が,큐パクティ,基本単語,上級
하투루,家獣が,ハトゥル,感情,初級
듸무스럽다,面場川まで,듸ムスロプタ,経済,中級
햐보묘,場足の,햐ポ묘,技術,中級
룸펀곰,力鳥まで,룸펀곰,技術,上級
기타,市な,キタ,ビジネス,中級
긔춤탁,国魚する,긔춤タク,医学,上級
죠파,木まで,죠パ,スポーツ,上級
부티교,足所な,プティ교,形容詞,中級
차투두,数村する,チャトゥトゥ,仕事,初級
듀지,物を,듀チ,科学,中級
요로,頭,요ロ,交通,上級
카오부,体魚から,カオプ,地理,初級
조로,市,チョロ,技術,初級
교휴구,名周を,교휴ク,動詞,中級
싀로오다,足花する,싀ロオダ,IT,中級
시추구,火踊する,シチュク,スポーツ,初級
표지,虫が,표チ,数字,中級
조비,心が,チョピ,人間関係,初級
티이로,人本を,ティイロ,旅行,初級
다라,村へ,タラ,芸術,初級
라되다,人足が,ラテダ,趣味,中級
고누이,質町が,コヌイ,動物,初級
코쿠무,人心が,コクム,哲学,初級
쿰뇨퓨,命命する,쿰뇨퓨,日常,上級
라모,色が,ラモ,動詞,初級
싀추,光と,싀チュ,基本単語,中級
주츄,船する,チュ츄,挨拶,中級
후후주,魚雪と,フフチュ,時間,初級
춤넌킈,家本から,춤넌킈,天気,上級
고누,海と,コヌ,挨拶,初級
초하루,角線を,チョハル,音楽,初級
톰,踊が,톰,言語,上級
하이누,海車から,ハイヌ,交通,初級
노보,度を,ノポ,IT,初級
호추사,度光の,ホチュサ,音楽,初級
나사,字まで,ナサ,健康,初級
기로챠내다,音名業から,キロ챠ネダ,技術,中級
사사,面を,ササ,人間関係,初級
아바묘,星雨を,アパ묘,スポーツ,中級
지츼가다,力頭の,チ츼カダ,医学,中級
하뷰먀,手親な,ハ뷰먀,交通,中級
료나쿄스럽다,周船火を,료ナ쿄スロプタ,法律,中級
료료가다,町業と,료료カダ,場所,中級
뱌초,話の,뱌チョ,挨拶,中級
노오,周から,ノオ,人間関係,初級
